Transcript stable ID	HGNC symbol
ENST00000627507	AP2A2
ENST00000629923	AP2A2
ENST00000625408	AP2A2
ENST00000629940	AP2A2
ENST00000628599	AP2A2
ENST00000626013	AP2A2
ENST00000630411	AP2A2
ENST00000627250	AP2A2
ENST00000626889	AP2A2
ENST00000626787	AP2A2
ENST00000630696	AP2A2
ENST00000627628	AP2A2
ENST00000628454	AP2A2
ENST00000628226	AP2A2
ENST00000626152	AP2A2
ENST00000630136	AP2A2
ENST00000626227	AP2A2
ENST00000628071	AP2A2
ENST00000630894	AP2A2
ENST00000628913	AP2A2
ENST00000617711	PTCHD3
ENST00000610715	PTCHD3
ENST00000633557	SEPTIN9
ENST00000634088	SEPTIN9
ENST00000633211	SEPTIN9
ENST00000632729	SEPTIN9
ENST00000631417	SEPTIN9
ENST00000633175	SEPTIN9
ENST00000632430	SEPTIN9
ENST00000629225	GOLGA6L22
ENST00000612056	GOLGA6L22
ENST00000612541	KRTAP5-2
ENST00000621436	KIR2DS4
ENST00000611724	KIR2DL2
ENST00000633326	CNTNAP2
ENST00000633544	CNTNAP2
ENST00000633607	CNTNAP2
ENST00000613345	CNTNAP2
ENST00000632946	CNTNAP2
ENST00000620564	KRTAP5-3
ENST00000629556	KRTAP5-4
ENST00000617720	KRTAP5-4
ENST00000619083	KRTAP5-1
ENST00000620568	KIR3DL1
ENST00000611567	KIR3DL1
ENST00000618541	KRTAP5-5
ENST00000631056	TUBGCP5
ENST00000625230	TUBGCP5
ENST00000630031	TUBGCP5
ENST00000625645	TUBGCP5
ENST00000625753	TUBGCP5
ENST00000625578	DUSP8
ENST00000627104	DUSP8
ENST00000617829	DUSP8
ENST00000618180	ABCB11
ENST00000611248	ABCB11
ENST00000571751	SKA1
ENST00000616604	SKA1
ENST00000633940	SKA1
ENST00000576078	SKA1
ENST00000571318	SKA1
ENST00000611085	GOLGA6L1
ENST00000622133	G6PC2
ENST00000612807	G6PC2
ENST00000617403	G6PC2
ENST00000618310	G6PC2
ENST00000622908	G6PC2
ENST00000611111	LRRC56
ENST00000630168	DHX36
ENST00000629736	DHX36
ENST00000627269	DHX36
ENST00000630672	DHX36
ENST00000626678	DHX36
ENST00000630536	DHX36
ENST00000630381	DHX36
ENST00000628280	DHX36
ENST00000629850	PROP1
ENST00000614773	SMN2
ENST00000627341	SMN2
ENST00000625687	SMN2
ENST00000631104	SMN2
ENST00000628642	SMN2
ENST00000625953	SMN2
ENST00000625462	SMN2
ENST00000626988	SMN2
ENST00000628000	SMN2
ENST00000612974	SMN2
ENST00000614610	SMN2
ENST00000612084	SPC25
ENST00000611144	SPC25
ENST00000612416	SPC25
ENST00000615149	SPC25
ENST00000616584	SPC25
ENST00000633913	METRNL
ENST00000633735	METRNL
ENST00000634158	METRNL
ENST00000616599	METRNL
ENST00000615147	KIR3DL2
ENST00000616961	KIR3DL2
ENST00000616813	GOLGA6L1
ENST00000630534	ARHGEF26
ENST00000629129	ARHGEF26
ENST00000630729	ARHGEF26
ENST00000614308	ARHGEF26
